sample,Achromobacter,Acidaminococcus,Acinetobacter,Actinobacillus,Actinobaculum,Actinomyces,Aerococcus,Aeromicrobium,Afipia,Aggregatibacter,Alistipes,Alloiococcus,Anaerobaculum,Anaerococcus,Anaerofustis,Anaeroglobus,Anaerostipes,Anaerotruncus,Arcobacter,Atopobium,Bacillus,Bacteroides,Bacteroidetes,Barnesiella,Bergeyella,Bifidobacterium,Bilophila,Blautia,Brevibacterium,Brevundimonas,Bulleidia,Burkholderiales,Butyrivibrio,Campylobacter,Capnocytophaga,Cardiobacterium,Catenibacterium,Centipeda,Chryseobacterium,Citrobacter,Clostridiales,Clostridium,Collinsella,Coprobacillus,Mollicutes,Coprococcus,Corynebacterium,Dermacoccus,Desmospora,Desulfitobacterium,Desulfovibrio,Dialister,Dolosigranulum,Dorea,Dysgonomonas,Edwardsiella,Eggerthella,Eikenella,Enhydrobacter,Enterobacter,Enterobacteriaceae,Enterococcus,Eremococcus,Erysipelothrix,Erysipelotrichaceae,Escherichia,Eubacteriaceae,Eubacterium,Facklamia,Faecalibacterium,Filifactor,Finegoldia,Flavonifractor,Fusobacterium,Gardnerella,Gemella,Granulicatella,Haemophilus,Hafnia,Helcococcus,Helicobacter,Holdemania,Johnsonella,Jonquetella,Kingella,Klebsiella,Lachnospiraceae,Lactobacillus,Lautropia,Leptotrichia,Leuconostoc,Listeria,Marvinbryantia,Massilia,Megamonas,Megasphaera,Methanobrevibacter,Micrococcus,Mitsuokella,Mobiluncus,Mycobacterium,Myroides,Neisseria,Odoribacter,Olsenella,Oribacterium,Oxalobacter,Paenibacillus,Parabacteroides,Paraprevotella,Parascardovia,Parasutterella,Parvimonas,Pasteurella,Pediococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Proteus,Providencia,Pseudoflavonifractor,Pseudomonas,Pseudoramibacter,Psychrobacter,Pyramidobacters,Ralstonia,Rhodococcus,Roseburia,Roseomonas,Rothia,Ruminococcaceae,Ruminococcus,Scardovia,Segniliparus,Selenomonas,Serratia,Shigella,Shuttleworthia,Simonsiella,Slackia,Solobacterium,Sphingobacterium,Sphingobium,Sporosarcina,Staphylococcus,Stomatobaculum,Streptococcus,Subdoligranulum,Succinatimonas,Sutterella,Synergistes,Tannerella,Treponema,Turicella,Turicibacter,Veillonella,Weissella,Yokenella
normal1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2371,0,0.01197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70574,0.00897,0,0.01099,0,0.02159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal3,0,0,0,0,0,0.0005067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024083,0,0,0,0,0,0,0.0006795,0,0,0,0,0,0,0,0.0005795,0,0,0,0,0,0,0,0,0,0,0.9776,0,0,0,0,0,0,0,0,0,0,0.000505,0,0,0,0,0,0,0,0,0.0003762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005425,0,0,0,0,0,0,0,0.0007857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154096,0,0.0006888,0,0,0,0,0,0,0,0,0,0,0
normal4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006036,0,0,0,0,0,0.96051,0,0,0,0,0,0,0,0.003038,0,0,0,0,0,0,0,0,0,0,0,0.0002801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002458,0.0003271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135345,0,0,0,0,0,0,0,0.0025181,0,0,0,0.0002183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017171,0,0.0015312,0,0,0,0,0,0,0,0,0,0,0
normal5,0,0,0.001138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016517,0,0.001338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004029,0,0,0,0,0,0.942634,0,0,0,0,0,0,0,0,0.0004837,0,0,0,0,0,0,0,0,0,0,0.0007224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179272,0,0,0,0,0,0,0,0.0007396,0,0,0,0.0003122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032543,0,0,0,0,0,0,0,0,0,0,0,0,9.62E-05
normal6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01211,0,0,0,0,0,0.92174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal7,0,0.007793,0,0,0,0.0000468,0,0,0,0,0,0,0,0,0,0,0.0000945,0,0,0,0,0.4217278,0,0.0001174,0,0,0,0.0029203,0,0,0,0,0,0,0.0005963,0,0,0,0,0.0008826,0,0.0145009,0,0.0006574,0,0,0,0,0,0,0,0.000027,0,0.0022187,0,0,0.004264,0,0,0.0002704,0,0,0,0,0.0023863,0.4079216,0,0.0092185,0,0,0,0.0000534,0,0.0001557,0,0,0,0,0,0,0,0.0002099,0,0,0,0.00024603,0.0914719,0,0,0,0,0,0.0002813,0,0,0,0,0,0,2.42E-05,0,0.0000124,0,0,0,0,0,0,0.0024938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007038,0,0,0,0,0.0001808,0,0.001851,0,0,0.0009129,0.0169808,0,0,0,0,0,0,0,0.0000244,0,0,0,0,0,0.0001885,0.0001363,0.0041827,0,0,0,0,0,0,0,0.0042469,0,3.78E-05
normal8,0,0,0,0,0,0.0002889,0,0,0,0.0002698,0.00727,0,0,0,0,0,0.0258909,0.004018,0,0,0,0.1412617,0,0.002178,0,0.0008315,0.00312,0.006665,0,0,0,0,0,0.0001299,0.0000409,0,0,0,0,0.0001213,0.0073567,0.076329,0.00006,0.002672,0,0.0139626,0,0,0,0,0.0028491,0.0001716,0,0.030449,0.0001134,0,0.0011258,0,0,0,0,0,0,0,0.0039339,0.0112169,0.0001866,0.0386812,0.0000632,0.26595,0,0,0.007613,0.0004684,0,0,0,0.0024606,0,0,0,0.003116,0.003153,0,0,0,0.1197782,0.0054742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012869,0,0,0.0009548,0.000174,0,0.0206022,0,0,0,0,0,0,0,0,0,0,0.0002222,0,0,0,0.001493,0,0,0,0,0,0,0.022999,0,0,0.01798,0.13189,0,0,0,0,0,0.0006398,0,0,0,0,0,0,0,0.0006996,0.0033663,0.00827,0,0,0,0,0,0,0,0.0002047,0,0
normal9,0,0,0,0,0,0,0,0,0,0.004928,0.03137,0,0,0,0,0,0,0,0,0,0,0.263795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22262,0.01095,0.005304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32117,0,0.025726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023182,0,0,0,0,0,0,0,0,0,0,0.035508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02362,0,0,0,0,0,0,0,0,0,0,0
normal10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2605,0,0
